"Datum","El kWh","Utomhustemperatur","Status"
"2022-08-01 00:00","1,45","17,3","Normalt"
"2022-08-01 01:00","1,64",17,"Normalt"
"2022-08-01 02:00","0,79","16,1","Normalt"
"2022-08-01 03:00","0,33","15,8","Normalt"
"2022-08-01 04:00","0,28","15,8","Normalt"
"2022-08-01 05:00","0,28","15,9","Normalt"
"2022-08-01 06:00","0,3","16,4","Normalt"
"2022-08-01 07:00","0,45","18,3","Normalt"
"2022-08-01 08:00","1,37","19,4","Normalt"
"2022-08-01 09:00","0,39","19,8","Normalt"
"2022-08-01 10:00","0,47","21,1","Normalt"
"2022-08-01 11:00","0,39","22,1","Normalt"
"2022-08-01 12:00","0,58","22,8","Normalt"
"2022-08-01 13:00","1,6","23,9","Normalt"
"2022-08-01 14:00","0,87","23,3","Normalt"
"2022-08-01 15:00","0,87","24,5","Normalt"
"2022-08-01 16:00","0,66","25,2","Normalt"
"2022-08-01 17:00","1,65","24,2","Normalt"
"2022-08-01 18:00","2,39",23,"Normalt"
"2022-08-01 19:00","1,48","21,9","Normalt"
"2022-08-01 20:00","0,59","21,5","Normalt"
"2022-08-01 21:00","1,1","19,3","Normalt"
"2022-08-01 22:00","1,55","17,7","Normalt"
"2022-08-01 23:00","1,41","16,8","Normalt"
"2022-08-02 00:00","1,32","16,7","Normalt"
"2022-08-02 01:00","0,72","16,7","Normalt"
"2022-08-02 02:00","0,3","16,3","Normalt"
"2022-08-02 03:00","0,3","14,7","Normalt"
"2022-08-02 04:00","0,31","14,2","Normalt"
"2022-08-02 05:00","0,31","13,4","Normalt"
"2022-08-02 06:00","0,36","13,4","Normalt"
"2022-08-02 07:00","1,27","13,7","Normalt"
"2022-08-02 08:00","0,6","14,2","Normalt"
"2022-08-02 09:00","0,43","15,1","Normalt"
"2022-08-02 10:00","0,43","16,7","Normalt"
"2022-08-02 11:00","0,5","18,4","Normalt"
"2022-08-02 12:00","0,5","19,9","Normalt"
"2022-08-02 13:00","0,88","20,5","Normalt"
"2022-08-02 14:00","0,61","21,6","Normalt"
"2022-08-02 15:00","0,93","21,1","Normalt"
"2022-08-02 16:00","1,56","22,9","Normalt"
"2022-08-02 17:00","0,75","23,3","Normalt"
"2022-08-02 18:00","0,49",23,"Normalt"
"2022-08-02 19:00","0,86","22,3","Normalt"
"2022-08-02 20:00","0,63","20,3","Normalt"
"2022-08-02 21:00","0,67",19,"Normalt"
"2022-08-02 22:00","0,82","18,1","Normalt"
"2022-08-02 23:00","1,95","17,9","Normalt"
"2022-08-03 00:00","1,11","17,7","Normalt"
"2022-08-03 01:00","0,33","16,2","Normalt"
"2022-08-03 02:00","0,28","15,6","Normalt"
"2022-08-03 03:00","0,27","15,1","Normalt"
"2022-08-03 04:00","0,35","15,5","Normalt"
"2022-08-03 05:00","0,33","15,5","Normalt"
"2022-08-03 06:00","0,28","15,3","Normalt"
"2022-08-03 07:00","0,28","16,7","Normalt"
"2022-08-03 08:00","1,31","17,3","Normalt"
"2022-08-03 09:00","2,18","18,1","Normalt"
"2022-08-03 10:00","0,57","20,1","Normalt"
"2022-08-03 11:00","0,47","21,6","Normalt"
"2022-08-03 12:00","0,49","22,9","Normalt"
"2022-08-03 13:00","0,64","24,1","Normalt"
"2022-08-03 14:00","0,54","23,1","Normalt"
"2022-08-03 15:00","1,45","24,9","Normalt"
"2022-08-03 16:00","0,69","23,7","Normalt"
"2022-08-03 17:00","0,82","23,3","Normalt"
"2022-08-03 18:00","0,69","23,1","Normalt"
"2022-08-03 19:00","0,89","22,9","Normalt"
"2022-08-03 20:00","0,66","22,4","Normalt"
"2022-08-03 21:00","0,59",22,"Normalt"
"2022-08-03 22:00","1,71","21,1","Normalt"
"2022-08-03 23:00","1,19","20,5","Normalt"
"2022-08-04 00:00","1,11","19,9","Normalt"
"2022-08-04 01:00","1,24","21,2","Normalt"
"2022-08-04 02:00","1,72","20,9","Normalt"
"2022-08-04 03:00","0,3","20,1","Normalt"
"2022-08-04 04:00","0,3","19,5","Normalt"
"2022-08-04 05:00","0,28","19,6","Normalt"
"2022-08-04 06:00","0,27","19,7","Normalt"
"2022-08-04 07:00","0,31","20,3","Normalt"
"2022-08-04 08:00","0,41","21,1","Normalt"
"2022-08-04 09:00","1,39","21,7","Normalt"
"2022-08-04 10:00","1,02","22,2","Normalt"
"2022-08-04 11:00","0,41","23,3","Normalt"
"2022-08-04 12:00","0,71","24,2","Normalt"
"2022-08-04 13:00","0,53","25,2","Normalt"
"2022-08-04 14:00","0,43","25,9","Normalt"
"2022-08-04 15:00","1,13","27,2","Normalt"
"2022-08-04 16:00","0,88","27,6","Normalt"
"2022-08-04 17:00","1,47","27,3","Normalt"
"2022-08-04 18:00",2,"28,3","Normalt"
"2022-08-04 19:00","2,28","26,1","Normalt"
"2022-08-04 20:00","1,27","24,4","Normalt"
"2022-08-04 21:00","0,9","23,1","Normalt"
"2022-08-04 22:00","1,12","22,9","Normalt"
"2022-08-04 23:00","1,03","22,3","Normalt"
"2022-08-05 00:00","0,35","21,3","Normalt"
"2022-08-05 01:00","0,39","20,3","Normalt"
"2022-08-05 02:00","0,32","18,8","Normalt"
"2022-08-05 03:00","0,31","18,2","Normalt"
"2022-08-05 04:00","0,29","18,2","Normalt"
"2022-08-05 05:00","0,55","18,4","Normalt"
"2022-08-05 06:00","1,06",19,"Normalt"
"2022-08-05 07:00","0,5","18,8","Normalt"
"2022-08-05 08:00","0,41","19,2","Normalt"
"2022-08-05 09:00","0,45","20,7","Normalt"
"2022-08-05 10:00","0,43","23,7","Normalt"
"2022-08-05 11:00","1,28","24,9","Normalt"
"2022-08-05 12:00","0,94","26,3","Normalt"
"2022-08-05 13:00","0,55","25,8","Normalt"
"2022-08-05 14:00","0,45","22,6","Normalt"
"2022-08-05 15:00","0,64","20,9","Normalt"
"2022-08-05 16:00","0,71","19,7","Normalt"
"2022-08-05 17:00","1,46","19,7","Normalt"
"2022-08-05 18:00","1,97","19,6","Normalt"
"2022-08-05 19:00","1,8","19,4","Normalt"
"2022-08-05 20:00","1,48","19,2","Normalt"
"2022-08-05 21:00","0,91","18,2","Normalt"
"2022-08-05 22:00","0,67","17,3","Normalt"
"2022-08-05 23:00","0,61","16,9","Normalt"
"2022-08-06 00:00","1,44","16,5","Normalt"
"2022-08-06 01:00","1,46","16,1","Normalt"
"2022-08-06 02:00","1,35","14,4","Normalt"
"2022-08-06 03:00","1,29","13,3","Normalt"
"2022-08-06 04:00","1,31","12,7","Normalt"
"2022-08-06 05:00","1,29","12,7","Normalt"
"2022-08-06 06:00","1,3","12,8","Normalt"
"2022-08-06 07:00","0,9","13,6","Normalt"
"2022-08-06 08:00","0,34","14,4","Normalt"
"2022-08-06 09:00","0,67","15,4","Normalt"
"2022-08-06 10:00","0,54","16,7","Normalt"
"2022-08-06 11:00","0,64","18,2","Normalt"
"2022-08-06 12:00","0,62","18,9","Normalt"
"2022-08-06 13:00","0,68","18,7","Normalt"
"2022-08-06 14:00","0,62","19,5","Normalt"
"2022-08-06 15:00","1,28","15,4","Normalt"
"2022-08-06 16:00","1,75",16,"Normalt"
"2022-08-06 17:00","2,56","17,8","Normalt"
"2022-08-06 18:00","1,49","15,8","Normalt"
"2022-08-06 19:00","0,94","16,7","Normalt"
"2022-08-06 20:00","1,79","16,3","Normalt"
"2022-08-06 21:00","0,97","16,1","Normalt"
"2022-08-06 22:00",1,"13,8","Normalt"
"2022-08-06 23:00","2,03","13,4","Normalt"
"2022-08-07 00:00","1,54","13,8","Normalt"
"2022-08-07 01:00","0,6",14,"Normalt"
"2022-08-07 02:00","0,43","13,8","Normalt"
"2022-08-07 03:00","0,35","12,8","Normalt"
"2022-08-07 04:00","0,35","12,4","Normalt"
"2022-08-07 05:00","0,3","12,6","Normalt"
"2022-08-07 06:00","0,28","12,6","Normalt"
"2022-08-07 07:00","0,39",14,"Normalt"
"2022-08-07 08:00","1,36","15,1","Normalt"
"2022-08-07 09:00","0,45","16,2","Normalt"
"2022-08-07 10:00","0,55","17,9","Normalt"
"2022-08-07 11:00","0,56","18,6","Normalt"
"2022-08-07 12:00","0,83","19,1","Normalt"
"2022-08-07 13:00","1,2","20,3","Normalt"
"2022-08-07 14:00","1,7","19,7","Normalt"
"2022-08-07 15:00","0,6","20,2","Normalt"
"2022-08-07 16:00","0,43","20,4","Normalt"
"2022-08-07 17:00","1,11","20,4","Normalt"
"2022-08-07 18:00","1,86",21,"Normalt"
"2022-08-07 19:00","1,74","20,6","Normalt"
"2022-08-07 20:00","1,53","19,2","Normalt"
"2022-08-07 21:00","1,69","17,3","Normalt"
"2022-08-07 22:00","1,25","16,1","Normalt"
"2022-08-07 23:00","1,02","15,8","Normalt"
"2022-08-08 00:00","0,83","15,4","Normalt"
"2022-08-08 01:00","0,61","14,9","Normalt"
"2022-08-08 02:00","0,85","14,6","Normalt"
"2022-08-08 03:00","1,3","14,2","Normalt"
"2022-08-08 04:00","0,33",14,"Normalt"
"2022-08-08 05:00","0,37","13,4","Normalt"
"2022-08-08 06:00","0,41","13,1","Normalt"
"2022-08-08 07:00","0,4","13,6","Normalt"
"2022-08-08 08:00","0,38","15,3","Normalt"
"2022-08-08 09:00","1,03","16,9","Normalt"
"2022-08-08 10:00","1,54","18,2","Normalt"
"2022-08-08 11:00","1,83","18,9","Normalt"
"2022-08-08 12:00","1,79","19,7","Normalt"
"2022-08-08 13:00","1,49","21,1","Normalt"
"2022-08-08 14:00","1,45","21,8","Normalt"
"2022-08-08 15:00","1,31","22,4","Normalt"
"2022-08-08 16:00","0,44","23,1","Normalt"
"2022-08-08 17:00","0,47","23,3","Normalt"
"2022-08-08 18:00","1,37","23,3","Normalt"
"2022-08-08 19:00","2,06","22,8","Normalt"
"2022-08-08 20:00","1,64","22,4","Normalt"
"2022-08-08 21:00","0,55",19,"Normalt"
"2022-08-08 22:00","0,53","17,4","Normalt"
"2022-08-08 23:00","0,54","16,4","Normalt"
"2022-08-09 00:00","0,42","14,8","Normalt"
"2022-08-09 01:00","0,29","15,1","Normalt"
"2022-08-09 02:00","1,21","13,5","Normalt"
"2022-08-09 03:00","0,45","12,6","Normalt"
"2022-08-09 04:00","0,96","12,1","Normalt"
"2022-08-09 05:00","0,73","11,8","Normalt"
"2022-08-09 06:00","0,3","12,4","Normalt"
"2022-08-09 07:00","0,32","14,6","Normalt"
"2022-08-09 08:00","0,91",17,"Normalt"
"2022-08-09 09:00","1,16","19,7","Normalt"
"2022-08-09 10:00","0,52",21,"Normalt"
"2022-08-09 11:00","0,68","22,1","Normalt"
"2022-08-09 12:00","0,54","21,6","Normalt"
"2022-08-09 13:00","0,43","23,7","Normalt"
"2022-08-09 14:00","1,23","24,6","Normalt"
"2022-08-09 15:00","1,49","24,7","Normalt"
"2022-08-09 16:00","0,94","24,6","Normalt"
"2022-08-09 17:00","0,8","24,6","Normalt"
"2022-08-09 18:00","0,59","24,4","Normalt"
"2022-08-09 19:00","1,46","23,5","Normalt"
"2022-08-09 20:00","0,66","21,6","Normalt"
"2022-08-09 21:00","0,79","19,8","Normalt"
"2022-08-09 22:00","0,72","18,6","Normalt"
"2022-08-09 23:00","1,61","17,6","Normalt"
"2022-08-10 00:00","1,37","17,1","Normalt"
"2022-08-10 01:00","1,57","16,5","Normalt"
"2022-08-10 02:00","0,32","15,9","Normalt"
"2022-08-10 03:00","0,28","15,5","Normalt"
"2022-08-10 04:00","0,36","15,2","Normalt"
"2022-08-10 05:00","0,35","14,7","Normalt"
"2022-08-10 06:00","0,3","15,4","Normalt"
"2022-08-10 07:00","0,28","16,3","Normalt"
"2022-08-10 08:00","0,35","17,4","Normalt"
"2022-08-10 09:00","1,46","18,2","Normalt"
"2022-08-10 10:00","0,74","18,6","Normalt"
"2022-08-10 11:00","0,51","20,2","Normalt"
"2022-08-10 12:00","0,49",21,"Normalt"
"2022-08-10 13:00","0,41","22,7","Normalt"
"2022-08-10 14:00","0,55","22,8","Normalt"
"2022-08-10 15:00","0,6","24,6","Normalt"
"2022-08-10 16:00","1,29","25,4","Normalt"
"2022-08-10 17:00","2,2","25,8","Normalt"
"2022-08-10 18:00","0,55","26,1","Normalt"
"2022-08-10 19:00","0,78","25,2","Normalt"
"2022-08-10 20:00","0,94",23,"Normalt"
"2022-08-10 21:00","1,82","21,4","Normalt"
"2022-08-10 22:00","1,84","20,2","Normalt"
"2022-08-10 23:00","1,19","19,3","Normalt"
"2022-08-11 00:00","0,9","18,9","Normalt"
"2022-08-11 01:00","0,34","18,5","Normalt"
"2022-08-11 02:00","0,29","17,9","Normalt"
"2022-08-11 03:00","0,31","17,7","Normalt"
"2022-08-11 04:00","0,3","17,4","Normalt"
"2022-08-11 05:00","0,95","17,2","Normalt"
"2022-08-11 06:00","0,85","17,2","Normalt"
"2022-08-11 07:00","0,4","17,7","Normalt"
"2022-08-11 08:00","0,46","18,4","Normalt"
"2022-08-11 09:00","0,41","19,7","Normalt"
"2022-08-11 10:00","0,46","20,8","Normalt"
"2022-08-11 11:00","0,84","22,2","Normalt"
"2022-08-11 12:00","1,66","24,3","Normalt"
"2022-08-11 13:00","0,53","25,9","Normalt"
"2022-08-11 14:00","0,56","26,4","Normalt"
"2022-08-11 15:00","0,56",27,"Normalt"
"2022-08-11 16:00","0,97","27,5","Normalt"
"2022-08-11 17:00","1,48",28,"Normalt"
"2022-08-11 18:00","1,69","26,8","Normalt"
"2022-08-11 19:00","2,2","26,3","Normalt"
"2022-08-11 20:00","1,63","24,8","Normalt"
"2022-08-11 21:00","1,76","23,1","Normalt"
"2022-08-11 22:00","0,92","21,7","Normalt"
"2022-08-11 23:00","1,4","20,9","Normalt"
"2022-08-12 00:00","0,78","20,3","Normalt"
"2022-08-12 01:00","0,37","19,4","Normalt"
"2022-08-12 02:00","0,3","18,2","Normalt"
"2022-08-12 03:00","1,34","17,3","Normalt"
"2022-08-12 04:00","0,31","16,6","Normalt"
"2022-08-12 05:00","0,27","15,8","Normalt"
"2022-08-12 06:00","0,28","15,8","Normalt"
"2022-08-12 07:00","0,36","17,2","Normalt"
"2022-08-12 08:00","0,53","18,4","Normalt"
"2022-08-12 09:00","0,62","19,9","Normalt"
"2022-08-12 10:00","1,45","21,1","Normalt"
"2022-08-12 11:00","0,57","22,2","Normalt"
"2022-08-12 12:00","0,65","23,6","Normalt"
"2022-08-12 13:00","1,57","24,7","Normalt"
"2022-08-12 14:00","0,96","25,9","Normalt"
"2022-08-12 15:00","0,47",27,"Normalt"
"2022-08-12 16:00","2,52",28,"Normalt"
"2022-08-12 17:00","0,95","28,7","Normalt"
"2022-08-12 18:00","0,55","25,6","Normalt"
"2022-08-12 19:00","2,21","23,7","Normalt"
"2022-08-12 20:00","0,72","21,8","Normalt"
"2022-08-12 21:00","0,59","19,7","Normalt"
"2022-08-12 22:00","0,63","18,3","Normalt"
"2022-08-12 23:00","0,94","17,6","Normalt"
"2022-08-13 00:00","1,51","17,1","Normalt"
"2022-08-13 01:00","1,33","16,9","Normalt"
"2022-08-13 02:00","0,82","16,8","Normalt"
"2022-08-13 03:00","0,32","16,4","Normalt"
"2022-08-13 04:00","0,3","16,2","Normalt"
"2022-08-13 05:00","0,31","15,9","Normalt"
"2022-08-13 06:00","0,95","16,6","Normalt"
"2022-08-13 07:00","0,73","17,4","Normalt"
"2022-08-13 08:00","0,37","18,9","Normalt"
"2022-08-13 09:00","0,81","21,4","Normalt"
"2022-08-13 10:00","1,4","23,5","Normalt"
"2022-08-13 11:00","0,6","25,7","Normalt"
"2022-08-13 12:00","0,49","27,2","Normalt"
"2022-08-13 13:00","1,19","27,9","Normalt"
"2022-08-13 14:00","0,79","28,2","Normalt"
"2022-08-13 15:00","0,45","28,3","Normalt"
"2022-08-13 16:00","0,4","28,6","Normalt"
"2022-08-13 17:00","0,87","28,6","Normalt"
"2022-08-13 18:00","2,38","28,6","Normalt"
"2022-08-13 19:00","1,02","27,3","Normalt"
"2022-08-13 20:00","0,68","25,6","Normalt"
"2022-08-13 21:00","0,71","23,2","Normalt"
"2022-08-13 22:00","1,57","21,2","Normalt"
"2022-08-13 23:00","0,94","19,6","Normalt"
"2022-08-14 00:00","0,67","18,4","Normalt"
"2022-08-14 01:00","0,37","17,7","Normalt"
"2022-08-14 02:00","0,3","17,3","Normalt"
"2022-08-14 03:00","0,28","16,7","Normalt"
"2022-08-14 04:00","0,29","16,4","Normalt"
"2022-08-14 05:00","1,31","15,6","Normalt"
"2022-08-14 06:00","1,03","15,2","Normalt"
"2022-08-14 07:00","0,67","17,6","Normalt"
"2022-08-14 08:00","0,33","19,8","Normalt"
"2022-08-14 09:00","0,46","22,1","Normalt"
"2022-08-14 10:00","0,61","23,8","Normalt"
"2022-08-14 11:00","1,68","25,4","Normalt"
"2022-08-14 12:00","1,67","27,3","Normalt"
"2022-08-14 13:00","1,43","28,6","Normalt"
"2022-08-14 14:00","1,48","28,9","Normalt"
"2022-08-14 15:00","1,41","29,8","Normalt"
"2022-08-14 16:00","1,5","29,7","Normalt"
"2022-08-14 17:00","1,56","29,3","Normalt"
"2022-08-14 18:00","1,28","28,5","Normalt"
"2022-08-14 19:00","0,52","26,1","Normalt"
"2022-08-14 20:00","0,61","24,4","Normalt"
"2022-08-14 21:00","0,59","21,8","Normalt"
"2022-08-14 22:00","0,69","20,2","Normalt"
"2022-08-14 23:00","0,75","18,9","Normalt"
"2022-08-15 00:00","0,59","17,9","Normalt"
"2022-08-15 01:00","0,41","17,4","Normalt"
"2022-08-15 02:00","0,38","16,9","Normalt"
"2022-08-15 03:00","0,31","15,9","Normalt"
"2022-08-15 04:00","1,28","15,7","Normalt"
"2022-08-15 05:00","0,44","15,6","Normalt"
"2022-08-15 06:00","0,32","16,3","Normalt"
"2022-08-15 07:00","0,31","18,6","Normalt"
"2022-08-15 08:00","0,36","20,4","Normalt"
"2022-08-15 09:00","0,48","23,2","Normalt"
"2022-08-15 10:00","0,51","24,3","Normalt"
"2022-08-15 11:00","0,6","25,4","Normalt"
"2022-08-15 12:00","1,28","25,3","Normalt"
"2022-08-15 13:00","1,39","24,6","Normalt"
"2022-08-15 14:00","0,59","26,4","Normalt"
"2022-08-15 15:00","0,54","29,6","Normalt"
"2022-08-15 16:00","0,36",29,"Normalt"
"2022-08-15 17:00","0,5","28,2","Normalt"
"2022-08-15 18:00","2,14","28,1","Normalt"
"2022-08-15 19:00","1,55","26,2","Normalt"
"2022-08-15 20:00","0,91","24,6","Normalt"
"2022-08-15 21:00","0,86","22,9","Normalt"
"2022-08-15 22:00","0,75","21,5","Normalt"
"2022-08-15 23:00","1,63","20,8","Normalt"
"2022-08-16 00:00","2,02","20,3","Normalt"
"2022-08-16 01:00","0,93","19,9","Normalt"
"2022-08-16 02:00","0,44","19,8","Normalt"
"2022-08-16 03:00","0,37","19,6","Normalt"
"2022-08-16 04:00","0,33","19,6","Normalt"
"2022-08-16 05:00",1,"19,4","Normalt"
"2022-08-16 06:00","0,59","19,3","Normalt"
"2022-08-16 07:00","0,31","20,4","Normalt"
"2022-08-16 08:00","0,45","22,2","Normalt"
"2022-08-16 09:00","0,51","24,8","Normalt"
"2022-08-16 10:00","0,75","26,8","Normalt"
"2022-08-16 11:00","1,49","26,8","Normalt"
"2022-08-16 12:00","0,58","27,5","Normalt"
"2022-08-16 13:00","0,6","28,7","Normalt"
"2022-08-16 14:00","0,46","29,1","Normalt"
"2022-08-16 15:00","0,76","29,7","Normalt"
"2022-08-16 16:00","1,86","29,3","Normalt"
"2022-08-16 17:00","1,25","28,6","Normalt"
"2022-08-16 18:00","0,65","27,4","Normalt"
"2022-08-16 19:00","0,85","26,3","Normalt"
"2022-08-16 20:00","1,37","25,1","Normalt"
"2022-08-16 21:00","0,77","23,8","Normalt"
"2022-08-16 22:00","1,83","23,1","Normalt"
"2022-08-16 23:00","0,89","22,3","Normalt"
"2022-08-17 00:00","2,5","21,7","Normalt"
"2022-08-17 01:00","1,19","21,1","Normalt"
"2022-08-17 02:00","0,42","20,4","Normalt"
"2022-08-17 03:00","0,33","20,7","Normalt"
"2022-08-17 04:00","0,31","20,6","Normalt"
"2022-08-17 05:00","1,2","20,2","Normalt"
"2022-08-17 06:00","0,5","20,3","Normalt"
"2022-08-17 07:00","0,31","20,6","Normalt"
"2022-08-17 08:00","0,35","20,9","Normalt"
"2022-08-17 09:00","0,45","22,4","Normalt"
"2022-08-17 10:00","0,48","23,4","Normalt"
"2022-08-17 11:00","0,54","24,7","Normalt"
"2022-08-17 12:00","1,65","25,7","Normalt"
"2022-08-17 13:00","1,6","26,1","Normalt"
"2022-08-17 14:00","1,45","28,1","Normalt"
"2022-08-17 15:00","0,94","28,2","Normalt"
"2022-08-17 16:00","1,52","27,8","Normalt"
"2022-08-17 17:00","0,88","27,1","Normalt"
"2022-08-17 18:00","1,73","26,6","Normalt"
"2022-08-17 19:00","1,73","24,9","Normalt"
"2022-08-17 20:00","0,84","23,6","Normalt"
"2022-08-17 21:00","0,8",23,"Normalt"
"2022-08-17 22:00","0,84","21,2","Normalt"
"2022-08-17 23:00","1,24","20,2","Normalt"
"2022-08-18 00:00","2,73","19,8","Normalt"
"2022-08-18 01:00","1,66",19,"Normalt"
"2022-08-18 02:00","0,3",18,"Normalt"
"2022-08-18 03:00","0,31","17,4","Normalt"
"2022-08-18 04:00","0,31","16,9","Normalt"
"2022-08-18 05:00","0,3","16,7","Normalt"
"2022-08-18 06:00","0,28","16,7","Normalt"
"2022-08-18 07:00","0,29","17,4","Normalt"
"2022-08-18 08:00","0,82","18,8","Normalt"
"2022-08-18 09:00","1,2","20,3","Normalt"
"2022-08-18 10:00","0,57","22,4","Normalt"
"2022-08-18 11:00","0,53","24,4","Normalt"
"2022-08-18 12:00","0,42","26,4","Normalt"
"2022-08-18 13:00","0,57","27,4","Normalt"
"2022-08-18 14:00","0,51","28,2","Normalt"
"2022-08-18 15:00","1,53","27,6","Normalt"
"2022-08-18 16:00","0,62","26,4","Normalt"
"2022-08-18 17:00","1,89","24,7","Normalt"
"2022-08-18 18:00","0,42","22,9","Normalt"
"2022-08-18 19:00","1,05","21,7","Normalt"
"2022-08-18 20:00","1,62","20,7","Normalt"
"2022-08-18 21:00","0,68","19,6","Normalt"
